attack,seed,f,dp_fedavg_acc,fedvrdp_acc,agptr_acc,agptr_accept_rate,median_nondp_acc,trimmean_nondp_acc,krum_nondp_acc,sparsefed_nondp_acc
ALIE,0,0.0,0.7982,0.8276,0.7771,0.6888888888888889,0.8168,0.8648,0.7263,0.8651
ALIE,0,0.1,0.7638,0.8092,0.769,0.65,0.7988,0.8054,0.725,0.8249
ALIE,0,0.2,0.6225,0.7397,0.7564,0.48333333333333334,0.7706,0.6886,0.7268,0.6653
ALIE,0,0.3,0.4642,0.447,0.7423,0.3277777777777778,0.6448,0.4151,0.1,0.4119
ALIE,0,0.4,0.2489,0.2836,0.7307,0.17777777777777778,0.4693,0.1777,0.1,0.1967
ALIE,0,0.49,0.1813,0.1,0.5878,0.027777777777777776,0.1007,0.1015,,0.3476
ALIE,0,0.6,0.11,0.1,0.1053,0.005555555555555556,0.1,0.1,,0.1
ALIE,1,0.0,0.8091,0.8254,0.7793,0.7611111111111111,0.8078,0.8616,0.7134,0.86
ALIE,1,0.1,0.7595,0.7858,0.7713,0.6722222222222223,0.7889,0.7812,0.7417,0.7904
ALIE,1,0.2,0.6721,0.7075,0.7502,0.5722222222222222,0.7492,0.587,0.7375,0.6343
ALIE,1,0.3,0.3753,0.4664,0.7301,0.23333333333333334,0.6682,0.4049,0.6568,0.3632
ALIE,1,0.4,0.2326,0.2685,0.7338,0.15,0.4239,0.2015,0.1,0.2568
ALIE,1,0.49,0.1918,0.1092,0.6269,0.03333333333333333,0.0992,0.1037,,0.2907
ALIE,1,0.6,0.1809,0.0981,0.1058,0.005555555555555556,0.1,0.1,,0.3677
ALIE,2,0.0,0.7994,0.8165,0.773,0.7277777777777777,0.8058,0.8604,0.75,0.8576
ALIE,2,0.1,0.7589,0.7851,0.7548,0.7388888888888889,0.789,0.7925,0.718,0.8065
