seed,f,full_agptr_acc,full_agptr_accept_rate,anchored_mean_only_acc,gate_global_clip_acc,gate_global_clip_accept_rate
0,0.0,0.7827,0.6833333333333333,0.8174,0.7857,0.6944444444444444
0,0.1,0.7735,0.7833333333333333,0.7929,0.7714,0.7444444444444445
0,0.2,0.7612,0.5555555555555556,0.6904,0.7557,0.5777777777777777
0,0.3,0.7323,0.4222222222222222,0.5261,0.7469,0.18333333333333332
0,0.4,0.6596,0.28888888888888886,0.2741,0.7225,0.10555555555555556
0,0.49,0.5904,0.027777777777777776,0.2985,0.5924,0.027777777777777776
0,0.6,0.0942,0.005555555555555556,0.296,0.0916,0.005555555555555556
1,0.0,0.7852,0.7333333333333333,0.8281,0.7816,0.7611111111111111
1,0.1,0.7595,0.7555555555555555,0.7794,0.7731,0.6444444444444445
1,0.2,0.7531,0.5611111111111111,0.6429,0.7554,0.6055555555555555
1,0.3,0.6566,0.5,0.4651,0.7331,0.35
1,0.4,0.7073,0.22777777777777777,0.2875,0.6584,0.13333333333333333
1,0.49,0.6173,0.03333333333333333,0.2976,0.6149,0.03333333333333333
1,0.6,0.1025,0.005555555555555556,0.0987,0.1021,0.005555555555555556
2,0.0,0.7782,0.75,0.8198,0.7847,0.75
2,0.1,0.7661,0.7388888888888889,0.8026,0.772,0.7444444444444445
2,0.2,0.7602,0.65,0.7338,0.7558,0.55
2,0.3,0.7671,0.2833333333333333,0.5199,0.7598,0.36666666666666664
2,0.4,0.7502,0.23333333333333334,0.2997,0.7531,0.23333333333333334
2,0.49,0.5904,0.027777777777777776,0.3791,0.5863,0.027777777777777776
2,0.6,0.1652,0.005555555555555556,0.3185,0.1655,0.005555555555555556
